name	type	units	low_cutoff	high_cutoff	notch	software_filters	status	status_description	sampling_frequency	description
OB7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
OB8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
OB9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
OB10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
OB11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
OB12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
OB13	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
OB14	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI13	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI14	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI15	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
FI16	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
A1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
A2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
A3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
A4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
A5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
A6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
A7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
A8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
A9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
